1591312082.089196	0	0
1591312092.1340227	0	0
1591312102.1388724	0	0
1591312112.299716	0	1
1591312122.5566146	0	1
1591312132.576635	0	2
1591312142.7832496	0	2
1591312152.9137597	0	2
1591312162.9189808	0	3
1591312173.124642	0	3
1591312183.210041	0	3
1591312193.4497406	1	3
1591312203.4350145	1	3
1591312213.4537969	1	3
1591312223.4570131	1	3
1591312233.5009282	1	3
1591312243.500695	1	3
1591312253.4974203	1	3
1591312263.5142674	1	3
1591312273.5531566	1	3
1591312283.6073337	1	3
1591312293.6791568	1	3
1591312303.9051414	1	3
1591312313.910097	1	3
1591312324.0468924	1	4
1591312334.174082	1	4
1591312344.2757113	1	4
1591312354.415783	1	6
1591312364.4338236	2	6
1591312374.530043	2	7
1591312384.7307458	3	7
1591312394.857351	3	7
1591312404.8705413	3	7
1591312414.8720229	3	7
1591312424.876257	3	7
1591312435.2024746	3	7
1591312445.3027484	3	7
1591312455.3062873	3	7
1591312465.5349123	3	7
1591312475.7655363	3	7
1591312485.7626162	3	7
1591312495.7878938	3	7
1591312505.994429	3	7
1591312515.9961038	3	7
1591312526.158371	3	7
1591312536.2478497	3	7
